725973.3477	140022.9262	1.8490
726011.7013	139700.2983	1.6940
725973.3477	140023.2902	1.8490
725973.2567	140023.1992	1.8490
725973.2567	140023.1992	1.8490
726033.4668	139710.8232	1.6550
726033.4668	139710.8232	1.6550
726032.9770	139711.3483	1.6590
726032.8860	139711.6213	1.6590
726032.9770	139711.7124	1.6590
726033.9670	139710.9937	1.8370
726034.0580	139711.0848	1.8370
726033.9670	139710.9937	1.8370
726033.5578	139710.9142	1.6550
726033.5578	139710.5502	1.6550
726032.8860	139711.6213	1.6590
726033.0265	139710.4339	1.4850
726033.1175	139710.5249	1.4850
726033.0265	139710.4339	1.4850
726010.5820	139680.4687	1.8850
726010.5820	139680.1046	1.8850
726032.4981	139711.4032	1.4780
726032.4981	139711.0391	1.4780
726032.4071	139711.3122	1.4780
726033.1175	139710.1608	1.4850
726032.4071	139711.3122	1.4780
726034.9193	139711.3008	2.1880
726035.0103	139711.3918	2.1880
726034.9193	139711.3008	2.1880
726034.5907	139711.2228	2.0140
726034.5907	139710.8587	2.0140
726034.9119	139712.3589	2.1870
726034.9119	139711.9948	2.1870
726034.8209	139712.2679	2.1870
726035.0103	139711.0277	2.1880
726034.8209	139712.2679	2.1870
726034.4996	139711.1318	2.0140
726033.5701	139711.9131	1.8400
726033.5701	139711.5490	1.8400
726033.4791	139711.8220	1.8400
726034.0580	139710.7207	1.8370
726033.4791	139711.8220	1.8400
726034.2141	139711.8311	2.0170
726034.4996	139711.1318	2.0140
726034.2141	139712.1951	2.0170
726034.1230	139712.1041	2.0170
726034.1230	139712.1041	2.0170
726015.2904	139713.2186	1.8460
726015.2904	139712.8545	1.8460
726015.1994	139713.1276	1.8460
726018.3615	139716.3353	1.8760
726015.1994	139713.1276	1.8460
726014.0274	139709.8044	1.8000
726012.3077	139704.8009	1.9070
726014.0274	139710.1685	1.8000
726013.9364	139710.0775	1.8000
726013.9364	139710.0775	1.8000
726018.3615	139716.6993	1.8760
726017.9454	139720.0572	1.9290
726018.3806	139717.5154	1.8570
726017.9454	139720.4213	1.9290
726017.8544	139720.3303	1.9290
726017.8544	139720.3303	1.9290
726018.2705	139716.6083	1.8760
726018.2705	139716.6083	1.8760
726018.4717	139717.2424	1.8570
726018.3806	139717.5154	1.8570
726018.4717	139717.6064	1.8570
726009.4849	139689.8088	1.9030
726009.8410	139683.3559	1.8090
726009.4849	139690.1729	1.9030
726009.3938	139690.0818	1.9030
726009.3938	139690.0818	1.9030
726010.4910	139680.3777	1.8850
726010.4910	139680.3777	1.8850
726009.9320	139683.0829	1.8090
726009.8410	139683.3559	1.8090
726009.9320	139683.4469	1.8090
726009.7519	139691.5783	1.8990
726010.7750	139698.3188	1.8320
726010.7750	139698.3188	1.8320
726012.3987	139704.5278	1.9070
726012.3077	139704.8009	1.9070
726012.3987	139704.8919	1.9070
726009.6608	139691.8514	1.8990
726009.7519	139691.9424	1.8990
726009.6608	139691.8514	1.8990
726010.8661	139698.4098	1.8320
726010.8661	139698.0457	1.8320
726035.4448	139712.4442	2.3730
726038.5939	139709.7100	3.5500
726038.6849	139709.8010	3.5500
726038.5939	139709.7100	3.5500
726038.3656	139710.2567	3.3970
726038.3656	139709.8926	3.3970
726039.7410	139709.9938	3.5390
726039.7410	139709.6297	3.5390
726039.6499	139709.9027	3.5390
726038.6849	139709.4370	3.5500
726039.6499	139709.9027	3.5390
