662781.226	1763556.392	8.385
662815.532	1763457.775	8.24
662817.269	1763458.834	9.345
662886.751	1763321.845	10.017
662883.601	1763320.172	8.245
662913.179	1763222.295	8.265
662969.896	1763110.703	8.25
663018.092	1763060.243	8.279
663102.963	1762989.209	8.28
674284	1744882	4.69
674292	1744882	4.89
674297	1744882	4.99
674319	1744880	5.49
674330	1744879	5.79
674339	1744876	6.99
674313	1744840	5.19
674294	1744819	4.69
674266	1744787	6.49
674280	1744781	4.09
674289	1744779	4.29
674305	1744778	4.99
674319	1744778	5.59
674329	1744776	6.99
674311	1744751	5.49
674300	1744741	4.99
674278	1744723	3.99
674263	1744701	6.69
674255	1744683	7.29
674269	1744677	4.99
674275	1744676	4.09
674287	1744674	5.09
674299	1744673	5.19
674307	1744672	5.59
674319	1744670	7.69
674308	1744647	6.19
674290	1744617	4.79
674274	1744593	4.39
674255	1744578	5.19
674246	1744571	6.19
674243	1744566	6.89
674251	1744564	5.69
674266	1744563	4.39
674277	1744561	4.19
674292	1744561	4.69
674299	1744561	5.69
674305	1744558	7.39
674294	1744539	5.39
674282	1744525	4.09
674259	1744503	3.79
674249	1744487	6.09
674240	1744468	7.39
674239	1744461	7.39
674252	1744456	5.59
674258	1744456	3.99
674265	1744455	2.99
674277	1744455	3.49
674289	1744454	4.39
674295	1744454	5.39
674301	1744450	7.59
674293	1744433	5.19
674279	1744408	3.59
674262	1744381	4.09
674256	1744369	5.29
674248	1744355	6.39
674238	1744348	7.59
674249	1744342	6.29
674267	1744342	3.79
674277	1744342	3.99
674291	1744342	4.69
674297	1744342	5.79
674306	1744339	7.69
674300	1744318	6.29
674295	1744305	4.99
674280	1744275	3.79
674271	1744260	4.39
674260	1744236	7.59
674273	1744232	4.69
674280	1744232	3.39
674289	1744233	3.59
674312	1744235	5.09
674324	1744235	6.29
674330	1744231	7.79
674322	1744209	5.29
674314	1744191	4.79
674306	1744176	3.89
674295	1744160	4.29
674287	1744144	7.49
674302	1744142	4.59
674313	1744144	3.79
674323	1744146	4.59
674336	1744150	5.29
674346	1744153	5.69
674361	1744154	7.59
674354	1744115	5.39
674346	1744098	4.79
674335	1744070	5.69
674329	1744046	7.49
674344	1744045	5.09
674355	1744048	5.09
674360	1744050	5.09
674385	1744062	5.09
674401	1744064	7.59
674402	1744050	6.29
674396	1744018	4.69
674387	1743982	4.99
674382	1743954	7.39
674396	1743952	5.69
674404	1743955	4.99
674414	1743960	4.99
674423	1743964	4.69
674431	1743969	4.69
674440	1743973	5.09
674449	1743974	7.59
674451	1743933	4.29
674448	1743908	4.79
674443	1743880	5.99
674441	1743868	7.69
674452	1743869	6.09
674461	1743875	5.19
674470	1743881	4.59
674479	1743887	3.89
674488	1743895	3.79
674505	1743893	6.89
674512	1743870	4.69
674509	1743842	3.99
674505	1743823	4.89
674507	1743794	7.59
674523	1743795	5.69
674531	1743799	4.69
674539	1743808	4.39
674547	1743815	4.09
674555	1743822	5.19
674571	1743811	6.09
674570	1743797	3.09
674569	1743777	3.49
674569	1743756	4.69
674580	1743717	7.29
674593	1743722	5.59
674600	1743728	4.49
674609	1743735	4.79
674617	1743742	6.19
674625	1743749	6.49
674630	1743755	6.59
674637	1743759	7.79
674643	1743693	4.99
674658	1743645	7.69
674671	1743647	6.09
674679	1743655	4.99
674686	1743662	4.79
674693	1743670	5.69
674708	1743675	7.69
674711	1743644	4.69
674733	1743577	6.59
674749	1743579	5.19
674755	1743581	4.79
674762	1743584	4.89
674768	1743587	5.69
674781	1743591	7.89
674781	1743542	4.99
674776	1743520	5.19
674779	1743486	6.89
674793	1743476	5.59
674802	1743479	4.99
674806	1743480	4.89
674812	1743482	5.29
674816	1743483	5.99
674827	1743480	7.79
674818	1743442	4.99
674812	1743420	5.29
674804	1743366	7.59
674814	1743366	6.39
674824	1743366	5.59
674834	1743366	5.09
674841	1743366	5.29
674856	1743360	7.29
674837	1743321	4.89
674805	1743245	7.69
674824	1743239	6.39
674832	1743241	5.89
674843	1743242	5.19
674855	1743244	4.99
674863	1743245	5.49
674875	1743242	7.59
674852	1743205	5.09
674839	1743190	5.59
674813	1743140	7.59
674828	1743135	5.59
674834	1743136	5.39
674852	1743136	5.09
674862	1743136	5.09
674872	1743133	5.49
674883	1743126	7.79
674870	1743101	5.49
674845	1743074	4.79
674833	1743062	4.49
674817	1743042	7.39
674827	1743037	4.59
674836	1743036	4.19
674844	1743036	4.49
674854	1743035	4.79
674864	1743034	5.09
674882	1743029	7.59
674863	1742998	5.19
674811	1742949	7.79
674831	1742942	3.99
674839	1742942	4.09
674851	1742941	4.89
674861	1742939	5.89
674870	1742935	7.39
674855	1742910	6.09
674842	1742899	5.39
674817	1742879	6.09
674787	1742852	7.89
674792	1742844	6.09
674803	1742844	5.59
674812	1742843	5.19
674822	1742842	5.49
674834	1742840	6.39
674845	1742834	7.69
674835	1742817	7.09
674820	1742794	5.99
674805	1742779	5.59
674768	1742754	7.39
674780	1742749	6.09
674795	1742748	5.59
674805	1742747	5.59
674816	1742746	5.79
674831	1742742	7.69
674803	1742706	5.39
674779	1742685	5.79
674762	1742655	7.69
674770	1742645	6.19
674785	1742645	4.69
674794	1742645	5.19
674811	1742645	6.09
674815	1742644	6.69
674828	1742639	7.49
674825	1742626	7.09
674814	1742595	5.99
674807	1742584	5.49
674781	1742575	6.89
674771	1742553	7.19
674786	1742507	7.19
674787	1742499	7.19
674789	1742486	7.39
674802	1742486	5.49
674800	1742496	5.29
674797	1742544	4.89
674808	1742548	5.19
674821	1742549	5.49
674834	1742542	7.09
674804	1742430	7.39
674818	1742424	5.89
674829	1742427	5.39
674838	1742429	3.79
674852	1742432	4.49
674862	1742434	5.99
674867	1742431	7.49
674857	1742392	3.59
674856	1742387	3.59
674847	1742355	3.79
674839	1742322	7.49
674852	1742321	4.59
674860	1742324	3.89
674868	1742326	3.49
674878	1742329	4.09
674893	1742327	7.39
674889	1742266	3.59
674879	1742220	7.79
674891	1742221	5.89
674896	1742224	4.19
674905	1742230	3.19
674915	1742236	3.89
674932	1742239	7.69
674937	1742192	3.39
674942	1742150	4.29
674940	1742134	7.39
674951	1742136	4.79
674960	1742145	3.09
674968	1742151	2.79
674974	1742157	3.99
674985	1742162	7.49
675000	1742115	2.79
675002	1742108	2.49
675006	1742091	2.99
675015	1742060	7.79
675031	1742066	3.39
675035	1742071	2.49
675042	1742079	2.89
